stock,effort,harvest,ds/dt,benefit,value
127000000,383104.934,43872040.76,36248407.78,59839455.15,13694407866
128000000,385480.6215,44366443.82,36919390.72,60810863.22,13700208740
129000000,387852.3812,44862505.84,37589365.41,61787351.45,13705883398
130000000,390220.2499,45360219.47,38258160.11,62768894.34,13711436236
131000000,392584.2639,45859577.44,38925602.99,63755466.72,13716871439
132000000,394944.4589,46360572.57,39591522.14,64747043.73,13722192992
133000000,397300.8698,46863197.76,40255745.57,65743600.87,13727404696
134000000,399653.5311,47367445.99,40918101.18,66745113.92,13732510178
135000000,402002.4767,47873310.35,41578416.81,67751559,13737512897
136000000,404347.7399,48380783.97,42236520.22,68762912.51,13742416160
137000000,406689.3535,48889860.09,42892239.08,69779151.16,13747223126
138000000,409027.3498,49400532.02,43545400.99,70800251.93,13751936818
139000000,411361.7605,49912793.14,44195833.47,71826192.12,13756560126
140000000,413692.6168,50426636.91,44843363.96,72856949.28,13761095818
141000000,416019.9496,50942056.86,45487819.83,73892501.25,13765546548
142000000,418343.7889,51459046.6,46129028.39,74932826.13,13769914856
143000000,420664.1647,51977599.81,46766816.87,75977902.28,13774203179
144000000,422981.1062,52497710.22,47401012.42,77027708.33,13778413857
145000000,425294.6424,53019371.65,48031442.13,78082223.17,13782549133
146000000,427604.8017,53542577.98,48657933.03,79141425.9,13786611163
147000000,429911.612,54067323.17,49280312.08,80205295.92,13790602019
148000000,432215.101,54593601.21,49898406.17,81273812.82,13794523691
149000000,434515.2959,55121406.19,50512042.13,82346956.45,13798378093
150000000,436812.2234,55650732.25,51121046.72,83424706.89,13802167069
151000000,439105.9099,56181573.57,51725246.65,84507044.44,13805892390
152000000,441396.3814,56713924.43,52324468.57,85593949.62,13809555763
153000000,443683.6635,57247779.14,52918539.06,86685403.17,13813158834
154000000,445967.7814,57783132.08,53507284.65,87781386.06,13816703186
155000000,448248.7601,58319977.68,54090531.81,88881879.45,13820190347
156000000,450526.624,58858310.44,54668106.95,89986864.71,13823621791
157000000,452801.3974,59398124.9,55239836.43,91096323.42,13826998940
158000000,455073.104,59939415.66,55805546.55,92210237.37,13830323164
159000000,457341.7674,60482177.38,56365063.56,93328588.51,13833595788
160000000,459607.4108,61026404.77,56918213.66,94451359.02,13836818092
161000000,461870.057,61572092.59,57464822.99,95578531.26,13839991311
162000000,464129.7286,62119235.64,58004717.65,96710087.76,13843116639
163000000,466386.4477,62667828.8,58537723.67,97846011.25,13846195232
164000000,468640.2364,63217866.97,59063667.05,98986284.63,13849228206
165000000,470891.1163,63769345.11,59582373.74,100130891,13852216641
166000000,473139.1087,64322258.23,60093669.63,101279813.6,13855161582
167000000,475384.2347,64876601.39,60597380.57,102433035.8,13858064042
168000000,477626.515,65432369.69,61093332.36,103590541.4,13860925000
169000000,479865.9703,65989558.27,61581350.76,104752313.9,13863745406
170000000,482102.6206,66548162.34,62061261.48,105918337.4,13866526177
171000000,484336.4861,67108177.12,62532890.18,107088595.9,13869268207
